Gene	Eif3b_1	Eif3b_2	IgG_1	IgG_2	Symbol	Chr	GeneType	Description
ENSG00000126870.15	7.13	4.99	12.98	6.37	WDR60	chr7	protein_coding	WD repeat domain 60
ENSG00000102024.17	29.25	28.7	32.49	29.6	PLS3	chrX	protein_coding	plastin 3
ENSG00000229442.2	0.0	0.22	0.0	0.0	THEMIS3P	chr18	unitary_pseudogene	thymocyte selection associated family member 3, pseudogene
ENSG00000231304.1	0.0	0.34	0.0	0.0	AC107622.1	chr3	lincRNA		--
ENSG00000153147.5	5.51	5.35	17.5	6.56	SMARCA5	chr4	protein_coding	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5
ENSG00000167291.15	10.53	8.75	3.61	8.86	TBC1D16	chr17	protein_coding	TBC1 domain family, member 16
ENSG00000112983.17	2.69	3.29	6.53	5.61	BRD8	chr5	protein_coding	bromodomain containing 8
ENSG00000163803.12	1.3	0.33	9.44	1.54	PLB1	chr2	protein_coding	phospholipase B1
ENSG00000165028.11	0.77	0.98	0.0	4.57	NIPSNAP3B	chr9	protein_coding	nipsnap homolog 3B (C. elegans)
ENSG00000128731.15	4.25	5.22	2.66	4.7	HERC2	chr15	protein_coding	HECT and RLD domain containing E3 ubiquitin protein ligase 2
ENSG00000155974.11	1.16	1.38	0.0	1.53	GRIP1	chr12	protein_coding	glutamate receptor interacting protein 1
ENSG00000169105.7	2.82	3.92	4.56	8.95	CHST14	chr15	protein_coding	carbohydrate (N-acetylgalactosamine 4-0) sulfotransferase 14
ENSG00000184787.18	6.57	11.8	4.43	9.78	UBE2G2	chr21	protein_coding	ubiquitin-conjugating enzyme E2G 2
ENSG00000260604.2	11.51	10.99	18.48	15.87	RP1-140K8.5	chr6	lincRNA		--
ENSG00000180764.13	0.2	0.0	0.0	0.0	PIPSL	chr10	transcribed_processed_pseudogene	PIP5K1A and PSMD4-like, pseudogene
ENSG00000253679.1	1.37	2.44	0.0	0.0	KB-1410C5.2	chr8	lincRNA		--
ENSG00000140326.12	10.0	10.91	33.41	44.86	CDAN1	chr15	protein_coding	codanin 1
ENSG00000268744.1	0.78	0.13	0.0	0.0	CTD-3105H18.14	chr19	protein_coding		--
ENSG00000260743.1	0.43	0.87	0.0	0.0	RP11-255C15.3	chr3	lincRNA		--
ENSG00000169994.18	0.29	0.25	0.0	0.0	MYO7B	chr2	protein_coding	myosin VIIB
ENSG00000011590.13	0.65	1.49	0.0	3.87	ZBTB32	chr19	protein_coding	zinc finger and BTB domain containing 32
ENSG00000239589.5	0.77	0.39	9.33	0.0	LINC00879	chr3	lincRNA	long intergenic non-protein coding RNA 879
ENSG00000150556.16	1.34	0.17	0.0	0.0	LYPD6B	chr2	protein_coding	LY6/PLAUR domain containing 6B
ENSG00000130988.12	0.6	0.15	7.23	0.0	RGN	chrX	protein_coding	regucalcin
ENSG00000112118.17	17.98	21.39	20.3	31.13	MCM3	chr6	protein_coding	minichromosome maintenance complex component 3
ENSG00000076201.14	7.3	8.87	6.22	3.81	PTPN23	chr3	protein_coding	protein tyrosine phosphatase, non-receptor type 23
ENSG00000214514.7	0.53	0.36	0.0	0.0	KRT42P	chr17	transcribed_unprocessed_pseudogene	keratin 42 pseudogene
ENSG00000259826.1	1.2	0.77	0.0	0.0	RP11-467D6.1	chr7	antisense		--
ENSG00000169427.6	0.0	0.0	0.0	5.15	KCNK9	chr8	protein_coding	potassium channel, two pore domain subfamily K, member 9
ENSG00000260886.1	1.54	0.0	0.0	0.0	TAT-AS1	chr16	antisense	TAT antisense RNA 1
ENSG00000232983.2	0.0	1.45	0.0	0.0	RP11-296L22.7	chr9	processed_pseudogene		--
ENSG00000187546.13	0.54	0.41	0.0	3.23	AGMO	chr7	protein_coding	alkylglycerol monooxygenase
ENSG00000171596.6	0.41	0.21	0.0	0.0	NMUR1	chr2	protein_coding	neuromedin U receptor 1
ENSG00000273650.1	0.0	3.98	0.0	0.0	CTD-3193K9.11	chr17	lincRNA		--
ENSG00000107014.8	0.0	0.87	0.0	0.0	RLN2	chr9	protein_coding	relaxin 2
ENSG00000198851.9	0.87	0.88	0.0	0.0	CD3E	chr11	protein_coding	CD3e molecule, epsilon (CD3-TCR complex)
ENSG00000260564.1	0.45	0.11	0.0	0.0	RP11-403N16.3	chr9	lincRNA		--
ENSG00000143184.4	0.98	1.25	0.0	0.0	XCL1	chr1	protein_coding	chemokine (C motif) ligand 1
ENSG00000226352.2	3.57	0.91	0.0	0.0	RP11-523H24.3	chr13	antisense		--
ENSG00000185942.11	0.68	0.34	0.0	0.0	NKAIN3	chr8	protein_coding	Na+/K+ transporting ATPase interacting 3
ENSG00000134864.10	0.94	0.48	0.0	0.0	GGACT	chr13	protein_coding	gamma-glutamylamine cyclotransferase
ENSG00000266756.1	0.0	4.07	0.0	0.0	MIR5680	chr8	miRNA	microRNA 5680
ENSG00000244247.1	2.16	0.0	0.0	0.0	RP11-139K4.2	chr3	lincRNA		--
ENSG00000255267.3	0.52	0.39	0.0	0.0	RP11-430H10.2	chr11	lincRNA		--
ENSG00000243234.1	0.0	0.57	0.0	0.0	CTD-2583A14.1	chr19	processed_pseudogene		--
ENSG00000250299.5	1.34	0.0	0.0	0.0	MRPS31P4	chr13	transcribed_unprocessed_pseudogene	mitochondrial ribosomal protein S31 pseudogene 4
ENSG00000229165.1	0.0	0.26	0.0	0.0	GDI2P1	chr7	processed_pseudogene	GDP dissociation inhibitor 2 pseudogene 1
ENSG00000170279.2	0.0	1.01	0.0	0.0	C7orf33	chr7	protein_coding	chromosome 7 open reading frame 33
ENSG00000273329.1	2.28	3.33	2.3	1.13	RP11-448A19.1	chr7	lincRNA		--
ENSG00000185324.21	9.82	8.17	11.46	11.24	CDK10	chr16	protein_coding	cyclin-dependent kinase 10
ENSG00000104936.17	7.31	6.51	6.65	0.0	DMPK	chr19	protein_coding	dystrophia myotonica-protein kinase
ENSG00000123136.14	21.97	12.06	47.07	7.7	DDX39A	chr19	protein_coding	DEAD (Asp-Glu-Ala-Asp) box polypeptide 39A
ENSG00000205837.7	0.63	1.93	0.0	0.0	LINC00487	chr2	lincRNA	long intergenic non-protein coding RNA 487
ENSG00000166823.5	0.57	3.75	0.0	0.0	MESP1	chr15	protein_coding	mesoderm posterior basic helix-loop-helix transcription factor 1
ENSG00000165272.14	0.73	0.0	26.46	6.49	AQP3	chr9	protein_coding	aquaporin 3 (Gill blood group)
ENSG00000180138.7	0.0	0.14	0.0	4.99	CSNK1A1L	chr13	protein_coding	casein kinase 1, alpha 1-like
ENSG00000277597.1	3.15	0.0	0.0	0.0	RP11-961A15.3	chr17	antisense		--
ENSG00000164327.12	2.17	2.13	3.39	0.83	RICTOR	chr5	protein_coding	RPTOR independent companion of MTOR, complex 2
ENSG00000132376.19	108.17	103.74	149.66	149.22	INPP5K	chr17	protein_coding	inositol polyphosphate-5-phosphatase K
ENSG00000260966.1	0.26	1.47	0.0	0.0	RP11-690D19.3	chr11	sense_overlapping		--
ENSG00000048649.13	1.33	2.09	9.72	1.27	RSF1	chr11	protein_coding	remodeling and spacing factor 1
ENSG00000275131.1	0.21	0.0	0.0	0.0	CH17-472G23.4	chr1	unprocessed_pseudogene		--
ENSG00000243633.3	0.0	2.33	0.0	0.0	RN7SL542P	chr7	misc_RNA	RNA, 7SL, cytoplasmic 542, pseudogene
ENSG00000100376.11	5.77	7.48	0.0	9.44	FAM118A	chr22	protein_coding	family with sequence similarity 118, member A
ENSG00000007392.16	6.67	9.51	6.48	3.18	LUC7L	chr16	protein_coding	LUC7-like (S. cerevisiae)
ENSG00000166349.9	0.41	0.21	0.0	0.0	RAG1	chr11	protein_coding	recombination activating gene 1
ENSG00000118873.15	3.05	3.63	8.99	3.86	RAB3GAP2	chr1	protein_coding	RAB3 GTPase activating protein subunit 2 (non-catalytic)
ENSG00000197622.12	6.28	6.02	17.95	3.3	CDC42SE1	chr1	protein_coding	CDC42 small effector 1
ENSG00000260509.2	0.51	0.0	0.0	0.0	RP11-271M24.2	chr13	lincRNA		--
ENSG00000172115.8	10.25	8.05	73.18	29.62	CYCS	chr7	protein_coding	cytochrome c, somatic
ENSG00000111231.8	1.54	2.74	0.0	4.58	GPN3	chr12	protein_coding	GPN-loop GTPase 3
ENSG00000112339.14	4.32	2.51	1.67	2.86	HBS1L	chr6	protein_coding	HBS1-like translational GTPase
ENSG00000143469.16	0.75	0.19	0.0	0.0	SYT14	chr1	protein_coding	synaptotagmin XIV
ENSG00000223812.5	0.0	0.76	0.0	0.0	RP11-197K6.1	chr3	lincRNA		--
ENSG00000063587.13	2.1	3.48	7.45	0.0	ZNF275	chrX	protein_coding	zinc finger protein 275
ENSG00000245482.2	0.62	0.78	0.0	0.0	RP11-847H18.2	chr12	antisense		--
ENSG00000144034.14	14.52	2.72	0.0	0.0	TPRKB	chr2	protein_coding	TP53RK binding protein
ENSG00000274156.1	2.57	0.0	0.0	15.3	RP11-407N8.6	chr12	lincRNA		--
ENSG00000082269.16	1.1	1.96	4.45	0.0	FAM135A	chr6	protein_coding	family with sequence similarity 135, member A
ENSG00000171435.13	0.42	0.27	0.92	0.45	KSR2	chr12	protein_coding	kinase suppressor of ras 2
ENSG00000253496.2	0.0	0.42	0.0	0.0	RP11-13N12.1	chr8	lincRNA		--
ENSG00000139637.13	5.3	2.7	6.43	6.31	C12orf10	chr12	protein_coding	chromosome 12 open reading frame 10
ENSG00000251567.5	4.45	3.02	0.0	5.89	RP11-775H9.2	chr4	lincRNA		--
ENSG00000197111.15	4.66	4.2	23.14	3.78	PCBP2	chr12	protein_coding	poly(rC) binding protein 2
ENSG00000223609.7	2.97	0.38	0.0	4.42	HBD	chr11	protein_coding	hemoglobin, delta
ENSG00000252956.1	12.21	0.0	0.0	0.0	RNA5SP40	chr1	rRNA	RNA, 5S ribosomal pseudogene 40
ENSG00000197124.11	0.0	0.26	0.0	2.03	ZNF682	chr19	protein_coding	zinc finger protein 682
ENSG00000111790.13	3.32	3.17	7.55	11.12	FGFR1OP2	chr12	protein_coding	FGFR1 oncogene partner 2
ENSG00000228222.1	0.0	1.48	0.0	0.0	AC074363.1	chr2	lincRNA		--
ENSG00000185022.11	2.68	2.61	2.96	0.0	MAFF	chr22	protein_coding	v-maf avian musculoaponeurotic fibrosarcoma oncogene homolog F
ENSG00000231205.11	0.32	0.33	0.0	0.0	ZNF826P	chr19	transcribed_unprocessed_pseudogene	zinc finger protein 826, pseudogene
ENSG00000275980.1	2.26	0.0	0.0	0.0	RP11-113D19.9	chr9	processed_pseudogene		--
ENSG00000243583.1	1.99	2.02	0.0	0.0	RP4-669B10.3	chr7	lincRNA		--
ENSG00000069329.15	2.67	3.02	10.81	4.71	VPS35	chr16	protein_coding	vacuolar protein sorting 35 homolog (S. cerevisiae)
ENSG00000121318.2	0.0	1.97	0.0	0.0	TAS2R10	chr12	protein_coding	taste receptor, type 2, member 10
ENSG00000248927.1	2.41	0.61	0.0	0.0	CTD-2334D19.1	chr5	lincRNA		--
ENSG00000204421.2	0.0	0.62	0.0	0.0	LY6G6C	chr6	protein_coding	lymphocyte antigen 6 complex, locus G6C
ENSG00000253882.6	0.87	0.78	5.3	1.3	RP11-61L23.2	chr7	transcribed_unprocessed_pseudogene		--
ENSG00000121270.15	0.27	0.34	0.0	1.6	ABCC11	chr16	protein_coding	ATP-binding cassette, sub-family C (CFTR/MRP), member 11
ENSG00000134352.19	3.48	3.16	2.69	0.88	IL6ST	chr5	protein_coding	interleukin 6 signal transducer
ENSG00000132964.11	49.69	41.85	18.68	35.36	CDK8	chr13	protein_coding	cyclin-dependent kinase 8
ENSG00000008853.16	1.84	0.47	0.0	2.06	RHOBTB2	chr8	protein_coding	Rho-related BTB domain containing 2
ENSG00000224988.1	0.0	2.01	0.0	0.0	RP11-409K20.7	chr9	processed_pseudogene		--
ENSG00000171298.12	36.54	26.17	4.46	20.78	GAA	chr17	protein_coding	glucosidase, alpha; acid
ENSG00000197892.12	2.1	1.66	0.0	2.59	KIF13B	chr8	protein_coding	kinesin family member 13B
ENSG00000126803.9	0.7	0.41	0.0	0.0	HSPA2	chr14	protein_coding	heat shock 70kDa protein 2
ENSG00000100084.14	8.45	9.11	6.04	7.9	HIRA	chr22	protein_coding	histone cell cycle regulator
ENSG00000168658.18	0.72	0.36	3.48	0.0	VWA3B	chr2	protein_coding	von Willebrand factor A domain containing 3B
ENSG00000213339.8	5.1	9.35	6.19	0.0	QTRT1	chr19	protein_coding	queuine tRNA-ribosyltransferase 1
ENSG00000257103.8	5.46	5.37	15.45	6.5	LSM14A	chr19	protein_coding	LSM14A, SCD6 homolog A (S. cerevisiae)
ENSG00000140022.9	2.56	2.98	3.65	2.69	STON2	chr14	protein_coding	stonin 2
ENSG00000204852.15	3.7	1.97	8.17	5.01	TCTN1	chr12	protein_coding	tectonic family member 1
ENSG00000232177.1	0.0	1.72	0.0	0.0	MTND4P24	chrX	processed_pseudogene	MT-ND4 pseudogene 24
ENSG00000170242.17	1.75	3.57	2.03	2.99	USP47	chr11	protein_coding	ubiquitin specific peptidase 47
ENSG00000265717.1	2.25	0.0	0.0	0.0	RP11-94B19.7	chr18	lincRNA		--
ENSG00000260464.1	50.59	37.56	23.09	47.57	RP4-561L24.3	chr1	lincRNA		--
ENSG00000235478.4	0.57	1.16	0.0	0.0	AC006946.15	chr22	lincRNA		--
ENSG00000160285.14	12.25	11.52	6.07	5.21	LSS	chr21	protein_coding	lanosterol synthase (2,3-oxidosqualene-lanosterol cyclase)
ENSG00000178084.1	0.79	0.81	0.0	0.0	HTR3C	chr3	protein_coding	5-hydroxytryptamine (serotonin) receptor 3C, ionotropic
ENSG00000100220.11	6.63	9.11	4.02	0.0	RTCB	chr22	protein_coding	RNA 2',3'-cyclic phosphate and 5'-OH ligase
ENSG00000188580.13	0.35	0.54	0.0	0.0	NKAIN2	chr6	protein_coding	Na+/K+ transporting ATPase interacting 2
ENSG00000233060.1	0.0	0.76	0.0	0.0	AC016700.2	chr2	lincRNA		--
ENSG00000138119.16	0.56	0.38	10.14	1.66	MYOF	chr10	protein_coding	myoferlin
ENSG00000182585.9	1.66	0.21	0.0	0.0	EPGN	chr4	protein_coding	epithelial mitogen
ENSG00000165424.6	3.72	3.93	9.69	6.34	ZCCHC24	chr10	protein_coding	zinc finger, CCHC domain containing 24
ENSG00000281069.1	0.0	4.75	0.0	0.0	AC017020.2	chrY	miRNA		--
ENSG00000176749.8	3.88	4.11	1.89	4.62	CDK5R1	chr17	protein_coding	cyclin-dependent kinase 5, regulatory subunit 1 (p35)
ENSG00000127831.10	0.68	0.95	0.0	1.16	VIL1	chr2	protein_coding	villin 1
ENSG00000119203.13	4.71	3.2	7.15	8.18	CPSF3	chr2	protein_coding	cleavage and polyadenylation specific factor 3, 73kDa
ENSG00000100109.16	2.78	3.27	2.11	2.07	TFIP11	chr22	protein_coding	tuftelin interacting protein 11
ENSG00000132004.12	35.27	35.16	26.76	35.02	FBXW9	chr19	protein_coding	F-box and WD repeat domain containing 9
ENSG00000160014.16	33.1	38.21	18.99	18.63	CALM3	chr19	protein_coding	calmodulin 3 (phosphorylase kinase, delta)
ENSG00000198876.12	2.2	4.1	0.0	4.36	DCAF12	chr9	protein_coding	DDB1 and CUL4 associated factor 12
ENSG00000261211.1	0.4	0.0	0.0	1.2	RP1-80N2.3	chr6	lincRNA		--
ENSG00000253110.1	1.91	0.48	0.0	0.0	CTB-78H18.1	chr5	lincRNA		--
ENSG00000110047.17	4.59	4.47	1.64	3.22	EHD1	chr11	protein_coding	EH-domain containing 1
ENSG00000230606.10	2.07	0.61	2.09	4.1	AC159540.1	chr2	lincRNA		--
ENSG00000225816.1	1.93	0.98	0.0	0.0	GTF3AP5	chr7	processed_pseudogene	general transcription factor IIIA pseudogene 5
ENSG00000151914.17	3.39	3.86	4.43	3.84	DST	chr6	protein_coding	dystonin
ENSG00000279806.1	0.0	1.38	0.0	4.61	RP11-58O9.2	chr17	TEC		--
ENSG00000168481.8	0.0	0.31	0.0	0.0	LGI3	chr8	protein_coding	leucine-rich repeat LGI family, member 3
ENSG00000161103.11	0.0	0.09	0.0	0.0	AC008132.13	chr22	transcribed_unprocessed_pseudogene		--
ENSG00000101977.19	0.0	0.3	0.0	2.67	MCF2	chrX	protein_coding	MCF.2 cell line derived transforming sequence
ENSG00000205693.3	0.0	0.67	0.0	0.0	MANSC4	chr12	protein_coding	MANSC domain containing 4
ENSG00000171763.17	2.87	2.53	3.17	1.56	SPATA5L1	chr15	protein_coding	spermatogenesis associated 5-like 1
ENSG00000256484.1	0.0	0.64	0.0	0.0	RP13-507P19.1	chr12	lincRNA		--
ENSG00000159403.15	0.97	0.61	0.0	0.0	C1R	chr12	protein_coding	complement component 1, r subcomponent
ENSG00000169488.5	43.09	35.14	53.65	19.74	OR4K15	chr14	protein_coding	olfactory receptor, family 4, subfamily K, member 15
ENSG00000227206.1	84.61	67.67	230.58	380.51	XXbac-BCX196D17.5	chr6	lincRNA		--
ENSG00000066117.14	4.16	8.65	0.0	5.39	SMARCD1	chr12	protein_coding	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 1
ENSG00000186642.15	0.57	0.87	0.0	0.0	PDE2A	chr11	protein_coding	phosphodiesterase 2A, cGMP-stimulated
ENSG00000163328.13	1.24	2.2	1.07	2.1	GPR155	chr2	protein_coding	G protein-coupled receptor 155
ENSG00000135596.17	4.59	4.33	4.13	4.05	MICAL1	chr6	protein_coding	microtubule associated monooxygenase, calponin and LIM domain containing 1
ENSG00000176890.15	7.68	6.79	24.53	7.22	TYMS	chr18	protein_coding	thymidylate synthetase
ENSG00000250608.1	0.0	0.31	0.0	0.0	RP11-933H2.4	chr3	processed_transcript		--
ENSG00000171806.11	0.85	1.73	0.0	2.54	METTL18	chr1	protein_coding	methyltransferase like 18
ENSG00000157734.13	14.13	13.62	45.13	18.82	SNX22	chr15	protein_coding	sorting nexin 22
ENSG00000155719.16	0.35	0.18	0.0	0.0	OTOA	chr16	protein_coding	otoancorin
ENSG00000182365.4	0.0	0.0	17.33	0.0	OR5F2P	chr11	unprocessed_pseudogene	olfactory receptor, family 5, subfamily F, member 2 pseudogene
ENSG00000153250.17	1.52	2.32	0.0	3.3	RBMS1	chr2	protein_coding	RNA binding motif, single stranded interacting protein 1
ENSG00000165752.16	7.42	4.81	0.0	8.04	STK32C	chr10	protein_coding	serine/threonine kinase 32C
ENSG00000273863.1	0.0	0.48	0.0	0.0	RP11-108F14.1	chrY	processed_pseudogene		--
ENSG00000144199.11	0.94	0.0	5.7	5.59	FAHD2B	chr2	protein_coding	fumarylacetoacetate hydrolase domain containing 2B
ENSG00000105497.7	0.91	1.58	0.0	0.0	ZNF175	chr19	protein_coding	zinc finger protein 175
ENSG00000271040.1	0.0	2.0	0.0	0.0	RP5-933K21.3	chr6	lincRNA		--
ENSG00000261319.1	0.0	0.53	0.0	0.0	RP11-279O17.1	chr16	lincRNA		--
ENSG00000238554.1	0.0	5.34	0.0	0.0	RNU1-88P	chr6	snRNA	RNA, U1 small nuclear 88, pseudogene
ENSG00000228613.1	0.85	3.04	20.75	0.0	AC144450.1	chr2	antisense		--
ENSG00000113083.12	11.72	11.19	20.78	10.98	LOX	chr5	protein_coding	lysyl oxidase
ENSG00000230492.1	0.0	2.85	0.0	0.0	RP4-753D10.5	chr20	antisense		--
ENSG00000197093.10	1.85	0.54	0.0	3.15	GAL3ST4	chr7	protein_coding	galactose-3-O-sulfotransferase 4
ENSG00000237440.8	0.0	0.55	0.0	0.0	ZNF737	chr19	protein_coding	zinc finger protein 737
ENSG00000004864.13	3.37	2.78	5.11	6.26	SLC25A13	chr7	protein_coding	solute carrier family 25 (aspartate/glutamate carrier), member 13
ENSG00000129195.15	1.15	1.47	0.0	3.44	FAM64A	chr17	protein_coding	family with sequence similarity 64, member A
ENSG00000272693.3	1.03	1.05	0.0	4.08	RP11-479O9.4	chr7	lincRNA		--
ENSG00000259847.1	0.0	1.82	0.0	10.67	RP11-95H3.1	chr16	lincRNA		--
ENSG00000250337.5	7.13	5.83	3.09	1.52	LINC01021	chr5	lincRNA	long intergenic non-protein coding RNA 1021
ENSG00000206052.10	0.15	0.31	1.83	0.0	DOK6	chr18	protein_coding	docking protein 6
ENSG00000167792.11	22.73	27.56	40.14	24.62	NDUFV1	chr11	protein_coding	NADH dehydrogenase (ubiquinone) flavoprotein 1, 51kDa
ENSG00000162664.16	3.5	2.91	8.96	6.96	ZNF326	chr1	protein_coding	zinc finger protein 326
ENSG00000212864.3	7.01	5.35	14.18	0.0	RNF208	chr9	protein_coding	ring finger protein 208
ENSG00000008283.15	1.29	1.4	3.93	3.85	CYB561	chr17	protein_coding	cytochrome b561
ENSG00000185686.17	6.95	5.36	13.61	13.35	PRAME	chr22	protein_coding	preferentially expressed antigen in melanoma
ENSG00000123575.8	5.85	6.6	7.65	3.22	FAM199X	chrX	protein_coding	family with sequence similarity 199, X-linked
ENSG00000146285.13	1.29	0.49	3.91	1.92	SCML4	chr6	protein_coding	sex comb on midleg-like 4 (Drosophila)
ENSG00000259319.1	0.66	0.76	0.0	0.0	RP11-293M10.6	chr14	antisense		--
ENSG00000266208.1	4.49	2.29	0.0	7.64	CTD-2267D19.3	chr17	antisense		--
ENSG00000171943.11	0.0	0.0	1.13	0.0	SRGAP2C	chr1	protein_coding	SLIT-ROBO Rho GTPase activating protein 2C
ENSG00000117748.9	9.32	11.68	8.08	9.91	RPA2	chr1	protein_coding	replication protein A2, 32kDa
ENSG00000165194.14	0.69	0.77	1.67	1.23	PCDH19	chrX	protein_coding	protocadherin 19
ENSG00000228168.1	0.0	0.0	0.0	8.33	HNRNPA1P21	chr3	processed_pseudogene	heterogeneous nuclear ribonucleoprotein A1 pseudogene 21
ENSG00000214851.4	1.21	0.31	0.0	1.81	LINC00612	chr12	processed_transcript	long intergenic non-protein coding RNA 612
ENSG00000261037.1	1.03	1.05	7.52	7.37	CTC-471C19.1	chr5	lincRNA		--
ENSG00000093217.9	5.4	6.23	6.4	5.49	XYLB	chr3	protein_coding	xylulokinase homolog (H. influenzae)
ENSG00000172572.6	0.18	0.32	2.15	0.0	PDE3A	chr12	protein_coding	phosphodiesterase 3A, cGMP-inhibited
ENSG00000240540.2	1.14	0.0	0.0	0.0	RPL3P9	chr8	processed_pseudogene	ribosomal protein L3 pseudogene 9
ENSG00000144504.15	3.73	2.12	0.0	0.0	ANKMY1	chr2	protein_coding	ankyrin repeat and MYND domain containing 1
ENSG00000100344.10	7.66	6.09	0.0	4.28	PNPLA3	chr22	protein_coding	patatin-like phospholipase domain containing 3
ENSG00000260552.1	0.0	1.12	0.0	0.0	RP11-49I11.1	chr18	antisense		--
ENSG00000053372.4	3.19	3.69	7.04	8.64	MRTO4	chr1	protein_coding	mRNA turnover 4 homolog (S. cerevisiae)
ENSG00000231237.1	1.38	0.7	0.0	0.0	OR6K1P	chr1	unprocessed_pseudogene	olfactory receptor, family 6, subfamily K, member 1 pseudogene
ENSG00000241472.6	0.35	0.45	0.0	0.0	PTPRG-AS1	chr3	processed_transcript	PTPRG antisense RNA 1
ENSG00000255545.7	0.63	0.48	1.93	2.83	RP11-627G23.1	chr11	processed_transcript		--
ENSG00000134255.13	6.33	5.42	10.49	0.0	CEPT1	chr1	protein_coding	choline/ethanolamine phosphotransferase 1
ENSG00000176463.13	1.05	0.36	1.41	0.0	SLCO3A1	chr15	protein_coding	solute carrier organic anion transporter family, member 3A1
ENSG00000196204.11	2.77	2.23	0.0	1.37	RNF216P1	chr7	transcribed_unprocessed_pseudogene	ring finger protein 216 pseudogene 1
ENSG00000259934.1	0.0	3.15	0.0	0.0	RP11-989E6.1	chr16	processed_pseudogene		--
ENSG00000244005.12	2.14	2.09	0.0	0.0	NFS1	chr20	protein_coding	NFS1 cysteine desulfurase
ENSG00000249763.1	0.0	0.24	0.0	0.0	RP11-618I10.1	chr4	processed_pseudogene		--
ENSG00000278908.1	0.0	0.16	0.0	0.0	RP11-523J2.1	chr2	TEC		--
ENSG00000274712.1	4.02	1.19	0.0	0.0	RP11-147L13.15	chr17	lincRNA		--
ENSG00000258481.1	0.0	0.59	0.0	0.0	RP11-472N19.3	chr14	lincRNA		--
ENSG00000186166.8	4.47	6.26	13.57	0.0	CCDC84	chr11	protein_coding	coiled-coil domain containing 84
ENSG00000234572.1	0.68	0.0	0.0	0.0	AC007880.1	chr2	lincRNA		--
ENSG00000142959.4	1.64	0.67	7.97	0.0	BEST4	chr1	protein_coding	bestrophin 4
ENSG00000178177.14	0.34	1.1	0.0	0.0	LCORL	chr4	protein_coding	ligand dependent nuclear receptor corepressor-like
ENSG00000272914.1	0.0	0.44	0.0	0.0	RP11-330O11.3	chr10	sense_intronic		--
ENSG00000244649.4	0.48	0.49	0.0	0.0	CTD-2377D24.6	chr17	lincRNA		--
ENSG00000104228.12	3.34	3.48	7.71	4.73	TRIM35	chr8	protein_coding	tripartite motif containing 35
ENSG00000188710.2	0.0	0.41	0.0	0.0	QRFP	chr9	protein_coding	pyroglutamylated RFamide peptide
ENSG00000165030.3	3.22	1.97	7.82	11.51	NFIL3	chr9	protein_coding	nuclear factor, interleukin 3 regulated
ENSG00000258220.1	1.06	2.43	0.0	0.0	RP11-38F22.1	chr12	lincRNA		--
ENSG00000168488.18	19.56	16.82	11.04	10.84	ATXN2L	chr16	protein_coding	ataxin 2-like
ENSG00000279026.1	1.81	0.92	0.0	1.8	RP3-414A15.12	chr14	TEC		--
ENSG00000188992.11	1.54	0.2	0.0	0.0	LIPI	chr21	protein_coding	lipase, member I
ENSG00000270629.5	0.0	0.06	0.7	0.0	NBPF14	chr1	protein_coding	neuroblastoma breakpoint family, member 14
ENSG00000175354.18	0.0	1.34	5.65	4.62	PTPN2	chr18	protein_coding	protein tyrosine phosphatase, non-receptor type 2
ENSG00000254037.2	14.87	27.52	65.63	56.34	RP11-775B15.3	chr8	processed_pseudogene		--
ENSG00000122674.11	7.06	2.3	3.43	5.05	CCZ1	chr7	protein_coding	CCZ1 vacuolar protein trafficking and biogenesis associated homolog (S. cerevisiae)
ENSG00000138152.8	0.36	0.55	4.41	0.0	BTBD16	chr10	protein_coding	BTB (POZ) domain containing 16
ENSG00000261468.1	0.7	0.18	0.0	0.0	RP11-1024P17.1	chr3	sense_overlapping		--
ENSG00000198001.13	1.86	1.97	0.0	1.84	IRAK4	chr12	protein_coding	interleukin-1 receptor-associated kinase 4
ENSG00000231662.1	260.92	251.25	1605.17	1217.99	RP11-686D16.1	chr6	lincRNA		--
ENSG00000135250.16	6.02	4.85	4.06	1.0	SRPK2	chr7	protein_coding	SRSF protein kinase 2
ENSG00000253968.1	2.49	0.0	0.0	0.0	CTB-32H22.1	chr5	lincRNA		--
ENSG00000203386.6	0.0	0.63	0.0	0.0	LINC01317	chr2	lincRNA	long intergenic non-protein coding RNA 1317
ENSG00000058453.16	2.12	2.47	4.9	0.0	CROCC	chr1	protein_coding	ciliary rootlet coiled-coil, rootletin
ENSG00000174173.6	10.71	7.71	22.41	4.4	TRMT10C	chr3	protein_coding	tRNA methyltransferase 10 homolog C (S. cerevisiae)
ENSG00000226983.2	0.49	0.63	0.0	2.94	AP000235.2	chr21	lincRNA		--
ENSG00000140968.10	4.48	4.73	3.89	10.49	IRF8	chr16	protein_coding	interferon regulatory factor 8
ENSG00000146411.5	4.21	2.98	0.0	3.58	SLC2A12	chr6	protein_coding	solute carrier family 2 (facilitated glucose transporter), member 12
ENSG00000225226.1	0.0	0.84	0.0	0.0	AC007250.4	chr2	lincRNA		--
ENSG00000213347.10	8.16	5.4	2.48	9.72	MXD3	chr5	protein_coding	MAX dimerization protein 3
ENSG00000185269.11	3.46	1.17	14.0	3.44	NOTUM	chr17	protein_coding	notum pectinacetylesterase homolog (Drosophila)
