#Chr	Start	End	PeakID	Tags	Strand	Length	maxHeight	Summit
chr11	46762461	46762497	chr11_15112	15	-	37	15	46762474
chr11	46776306	46776356	chr11_15123	8	-	51	7	46776314
chr11	47164522	47164566	chr11_15232	4	-	45	4	47164541
chr11	47239329	47239361	chr11_15291	4	-	33	4	47239341
chr11	47767201	47767221	chr11_3828	5	+	21	5	47767202
chr11	47767219	47767282	chr11_15519	6	-	64	5	47767259
chr11	57460791	57460825	chr11_3952	4	+	35	4	57460804
chr11	59551029	59551065	chr11_15810	10	-	37	10	59551047
chr11	59551357	59551382	chr11_4191	4	+	26	4	59551360
chr11	59566368	59566410	chr11_15813	4	-	43	4	59566377
chr11	60902420	60902451	chr11_15893	4	-	32	4	60902430
chr11	61362388	61362420	chr11_4338	4	+	33	4	61362405
chr11	61364251	61364253	chr11_4341	4	+	3	4	61364251
chr11	61416436	61416489	chr11_16058	4	-	54	4	61416454
chr11	61792936	61792979	chr11_4454	6	+	44	6	61792958
chr11	61828544	61828565	chr11_4473	6	+	22	6	61828546
chr11	62559614	62559686	chr11_16236	9	-	73	8	62559645
chr11	62571878	62571901	chr11_16248	13	-	24	13	62571900
chr11	62572583	62572604	chr11_16249	13	-	22	13	62572583
chr11	62572734	62572742	chr11_16252	14	-	9	14	62572738
chr11	62573830	62573890	chr11_16256	16	-	61	14	62573830
chr11	62612657	62612676	chr11_4582	4	+	20	4	62612658
chr11	62626072	62626165	chr11_16356	8	-	94	6	62626129
chr11	62628878	62629012	chr11_16367	14	-	135	5	62628886
chr11	62630378	62630430	chr11_16378	5	-	53	5	62630383
chr11	62630755	62630800	chr11_16383	7	-	46	7	62630777
chr11	62639004	62639110	chr11_16405	14	-	107	9	62639041
chr11	62665418	62665570	chr11_4584	57	+	153	19	62665547
chr11	62712572	62712638	chr11_16502	4	-	67	4	62712607
chr11	62753118	62753156	chr11_16539	4	-	39	4	62753127
chr11	62799588	62799620	chr11_16558	5	-	33	5	62799591
chr11	62841603	62841721	chr11_16606	34	-	119	26	62841622
chr11	62852909	62853024	chr11_16615	31	-	116	15	62852913
chr11	62853871	62853968	chr11_16620	41	-	98	35	62853935
chr11	62854610	62854664	chr11_16625	28	-	55	28	62854630
chr11	62855013	62855105	chr11_16627	58	-	93	32	62855032
chr11	62855277	62855366	chr11_16628	89	-	90	69	62855332
chr11	62855524	62855666	chr11_16630	98	-	143	62	62855600
chr11	62881018	62881192	chr11_4652	11	+	175	6	62881089
chr11	62884456	62884487	chr11_4671	5	+	32	5	62884466
chr11	62888408	62888473	chr11_4684	5	+	66	5	62888439
chr11	62888588	62888668	chr11_4686	10	+	81	6	62888600
chr11	63681515	63681562	chr11_4703	6	+	48	6	63681534
chr11	63758817	63758859	chr11_4734	4	+	43	4	63758835
chr11	63974675	63974741	chr11_4870	7	+	67	5	63974679
chr11	63974750	63974794	chr11_4871	6	+	45	5	63974761
chr11	63976327	63976468	chr11_4873	13	+	142	7	63976341
chr11	64766060	64766147	chr11_16874	9	-	88	7	64766096
chr11	65112624	65112708	chr11_5218	5	+	85	4	65112638
chr11	65122089	65122138	chr11_17090	8	-	50	7	65122109
chr11	65122143	65122176	chr11_17091	6	-	34	6	65122157
chr11	65422899	65423131	chr11_5406	35	+	233	11	65423012
chr11	65423179	65423248	chr11_5407	7	+	70	7	65423226
chr11	65423250	65423438	chr11_5408	37	+	189	11	65423311
chr11	65423445	65423598	chr11_5409	18	+	154	12	65423512
chr11	65423613	65423715	chr11_5410	16	+	103	11	65423680
chr11	65423966	65424135	chr11_5412	19	+	170	6	65424004
chr11	65424432	65424539	chr11_5417	19	+	108	8	65424509
chr11	65425279	65425350	chr11_5427	13	+	72	9	65425308
chr11	65427056	65427174	chr11_5452	16	+	119	6	65427087
chr11	65428239	65428431	chr11_5466	34	+	193	12	65428330
chr11	65428433	65428506	chr11_5467	13	+	74	6	65428454
chr11	65429035	65429073	chr11_5473	8	+	39	8	65429055
chr11	65429371	65429473	chr11_5480	11	+	103	6	65429433
chr11	65429820	65430085	chr11_5484	28	+	266	10	65430052
chr11	65430279	65430340	chr11_5489	10	+	62	9	65430303
chr11	65431744	65431801	chr11_5508	9	+	58	7	65431780
chr11	65434677	65434815	chr11_5544	16	+	139	6	65434687
chr11	65435024	65435153	chr11_5549	14	+	130	6	65435059
chr11	65435172	65435210	chr11_5550	7	+	39	7	65435191
chr11	65435339	65435367	chr11_5554	7	+	29	7	65435344
chr11	65435683	65435788	chr11_5559	11	+	106	6	65435728
chr11	65435973	65436077	chr11_5562	14	+	105	9	65435997
chr11	65436164	65436295	chr11_5564	27	+	132	11	65436246
chr11	65438151	65438203	chr11_5587	14	+	53	14	65438180
chr11	65440939	65441053	chr11_5617	16	+	115	7	65441010
chr11	65441214	65441287	chr11_5621	18	+	74	11	65441252
chr11	65442434	65442579	chr11_5634	21	+	146	11	65442540
chr11	65443246	65443304	chr11_5641	12	+	59	8	65443278
chr11	65444195	65444278	chr11_5653	13	+	84	11	65444236
chr11	65444499	65444742	chr11_5657	28	+	244	8	65444646
chr11	65445100	65445353	chr11_5664	20	+	254	6	65445334
chr11	65445434	65445469	chr11_5665	7	+	36	7	65445444
chr11	65503934	65504260	chr11_5710	52	+	327	15	65504180
chr11	65504662	65504876	chr11_5714	40	+	215	14	65504853
chr11	65505162	65505394	chr11_5718	51	+	233	17	65505229
chr11	65505526	65505585	chr11_5720	11	+	60	11	65505554
chr11	65505804	65505920	chr11_5724	34	+	117	18	65505837
chr11	65505925	65505997	chr11_5725	12	+	73	7	65505956
chr11	65572805	65572851	chr11_5784	4	+	47	4	65572823
chr11	65618154	65618307	chr11_5823	9	+	154	5	65618198
chr11	65858105	65858151	chr11_17309	5	-	47	5	65858129
chr11	66002544	66002570	chr11_6025	4	+	27	4	66002558
chr11	66003234	66003293	chr11_6026	5	+	60	5	66003235
chr11	66059563	66059595	chr11_6064	6	+	33	6	66059592
chr11	66059781	66059880	chr11_6065	10	+	100	6	66059781
chr11	66348149	66348209	chr11_6194	16	+	61	15	66348183
chr11	66728194	66728255	chr11_17627	7	-	62	6	66728224
chr11	67401110	67401170	chr11_17704	9	-	61	8	67401139
chr11	67584142	67584169	chr11_6685	5	+	28	5	67584157
chr11	67584684	67584772	chr11_6688	13	+	89	7	67584709
chr11	67585149	67585210	chr11_6691	6	+	62	6	67585184
chr11	67607004	67607044	chr11_6702	5	+	41	5	67607021
chr11	70433646	70433704	chr11_7350	9	+	59	7	70433684
chr11	71441373	71441432	chr11_18146	5	-	60	5	71441397
chr11	72103182	72103221	chr11_18278	5	-	40	4	72103184
chr11	72224993	72225017	chr11_7507	9	+	25	9	72224995
chr11	72235418	72235451	chr11_7547	5	+	34	5	72235418
chr11	75131815	75131837	chr11_7950	6	+	23	6	75131820
chr11	75400390	75400485	chr11_7962	31	+	96	22	75400417
chr11	75400497	75400538	chr11_7963	20	+	42	20	75400512
chr11	75404419	75404566	chr11_7974	79	+	148	28	75404542
chr11	75405613	75405664	chr11_7978	18	+	52	12	75405637
chr11	76235827	76235868	chr11_18917	16	-	42	16	76235849
chr11	77474199	77474222	chr11_18999	11	-	24	11	77474204
chr11	77637609	77637666	chr11_19033	5	-	58	5	77637626
chr11	77886486	77886529	chr11_8246	4	+	44	4	77886503
chr11	77886674	77886746	chr11_8248	7	+	73	6	77886691
chr11	78079687	78079796	chr11_19127	10	-	110	6	78079729
chr11	85664515	85664549	chr11_19438	5	-	35	5	85664521
chr11	93721513	93721544	chr11_8755	8	+	32	8	93721517
chr11	93730978	93731012	chr11_19691	13	-	35	13	93730985
chr11	93731505	93731572	chr11_19694	33	-	68	28	93731541
chr11	93733230	93733285	chr11_19701	22	-	56	17	93733254
chr11	93733464	93733505	chr11_19703	10	-	42	10	93733484
chr11	93733537	93733597	chr11_19704	20	-	61	15	93733554
chr11	101038703	101038722	chr11_8982	4	+	20	4	101038705
chr11	102397808	102397831	chr11_19952	7	-	24	7	102397811
chr11	106077794	106077858	chr11_9225	5	+	65	5	106077821
chr11	108138967	108139013	chr11_9315	4	+	47	4	108138989
chr11	112963232	112963252	chr11_9711	5	+	21	5	112963234
chr11	117205359	117205393	chr11_20839	4	-	35	4	117205368
chr11	117869015	117869057	chr11_20905	4	-	43	4	117869018
chr11	118401626	118401670	chr11_10106	4	+	45	4	118401648
chr11	119052636	119052749	chr11_21086	10	-	114	5	119052708
chr11	119056069	119056099	chr11_21095	5	-	31	5	119056079
chr11	119094724	119094762	chr11_21109	6	-	39	6	119094736
chr11	119095339	119095420	chr11_21114	8	-	82	6	119095369
chr11	120211228	120211250	chr11_21244	6	-	23	6	120211232
chr11	120211401	120211497	chr11_10507	10	+	97	8	120211431
chr11	123058075	123058161	chr11_21283	67	-	87	50	123058095
chr11	123059333	123059423	chr11_21292	58	-	91	43	123059346
chr11	124804777	124804798	chr11_21371	9	-	22	9	124804780
chr11	125903179	125903198	chr11_21422	5	-	20	5	125903180
chr11	125956285	125956316	chr11_11191	2	+	32	2	125956298
chr11	130070002	130070051	chr11_11335	7	+	50	6	130070030
chr11	130109428	130109475	chr11_11357	5	+	48	5	130109443
chr11	130110561	130110617	chr11_11361	6	+	57	5	130110583
chr11	130122432	130122513	chr11_11375	18	+	82	14	130122466
chr11	130129073	130129206	chr11_11383	15	+	134	11	130129139
chr11	130140397	130140420	chr11_11398	5	+	24	5	130140398
chr12	753271	753341	chr12_150324	6	+	71	5	753284
chr12	753458	753507	chr12_150326	5	+	50	5	753483
chr12	753562	753594	chr12_150328	5	+	33	5	753565
chr12	753649	753732	chr12_150329	10	+	84	7	753691
chr12	753879	753928	chr12_150333	5	+	50	5	753900
chr12	1380409	1380431	chr12_161175	5	-	23	5	1380412
chr12	6329361	6329425	chr12_161382	5	-	65	4	6329374
chr12	6493122	6493197	chr12_161418	6	-	76	4	6493153
chr12	6510221	6510403	chr12_151215	37	+	183	13	6510271
chr12	6510449	6510499	chr12_151217	18	+	51	18	6510469
chr12	6510501	6510549	chr12_151218	9	+	49	9	6510522
chr12	6534524	6534569	chr12_151271	9	+	46	6	6534562
chr12	6570395	6570455	chr12_161474	5	-	61	5	6570428
chr12	6581532	6581610	chr12_161486	11	-	79	8	6581585
chr12	6597998	6598050	chr12_161514	5	-	53	5	6598029
chr12	6751937	6752000	chr12_161587	6	-	64	4	6751947
chr12	6769602	6769674	chr12_151324	11	+	73	9	6769623
chr12	6770503	6770554	chr12_151327	7	+	52	6	6770524
chr12	6943834	6943878	chr12_151488	12	+	45	12	6943858
chr12	6967334	6967607	chr12_161653	79	-	274	30	6967352
chr12	8204196	8204229	chr12_151620	4	+	34	4	8204199
chr12	8774402	8774459	chr12_151655	4	+	58	4	8774424
chr12	10699401	10699472	chr12_161836	7	-	72	5	10699443
chr12	10713244	10713317	chr12_161853	6	-	74	5	10713288
chr12	14771051	14771119	chr12_161996	6	-	69	4	14771070
chr12	21657750	21657833	chr12_162147	12	-	84	10	21657783
chr12	24734162	24734184	chr12_162275	4	-	23	4	24734164
chr12	25885729	25885775	chr12_152383	5	+	47	4	25885734
chr12	31104022	31104056	chr12_152691	7	+	35	7	31104032
chr12	31104132	31104193	chr12_152693	7	+	62	5	31104168
chr12	31104655	31104753	chr12_152700	10	+	99	5	31104668
chr12	38139080	38139102	chr12_152853	4	+	23	4	38139081
chr12	38161463	38161503	chr12_162787	4	-	41	4	38161464
chr12	46372508	46372587	chr12_163375	10	-	80	5	46372538
chr12	48654389	48654464	chr12_163562	28	-	76	20	48654421
chr12	48654467	48654518	chr12_163563	14	-	52	10	48654498
chr12	48656683	48656725	chr12_163565	8	-	43	8	48656696
chr12	48667505	48667549	chr12_163574	7	-	45	7	48667525
chr12	48818886	48818909	chr12_153319	4	+	24	4	48818892
chr12	48837607	48837651	chr12_163663	4	-	45	4	48837629
chr12	48844021	48844050	chr12_163667	5	-	30	4	48844040
chr12	49021119	49021193	chr12_163780	6	-	75	5	49021173
chr12	49038725	49038762	chr12_163857	5	-	38	5	49038727
chr12	49051438	49051510	chr12_163912	6	-	73	5	49051466
chr12	49054558	49054611	chr12_163932	6	-	54	5	49054585
chr12	49059904	49059952	chr12_163943	4	-	49	4	49059909
chr12	49131297	49131395	chr12_163983	7	-	99	4	49131376
chr12	49265093	49265144	chr12_153355	12	+	52	10	49265102
chr12	49347202	49347240	chr12_153397	4	+	39	4	49347214
chr12	49752480	49752549	chr12_153551	8	+	70	5	49752504
chr12	49753002	49753052	chr12_153553	6	+	51	5	49753030
chr12	49755634	49755755	chr12_153555	10	+	122	5	49755650
chr12	49763057	49763102	chr12_153570	6	+	46	6	49763068
chr12	49792695	49792756	chr12_164081	4	-	62	4	49792717
chr12	50112223	50112278	chr12_153677	4	+	56	4	50112238
chr12	50456572	50456640	chr12_153734	5	+	69	4	50456611
chr12	50994543	50994582	chr12_164275	5	-	40	4	50994557
chr12	52901158	52901219	chr12_164417	4	-	62	4	52901190
chr12	53454768	53454811	chr12_154287	9	+	44	9	53454788
chr12	53665201	53665418	chr12_164571	8	-	218	6	53665274
chr12	54402283	54402330	chr12_164745	4	-	48	4	54402310
chr12	55727285	55727336	chr12_164814	5	-	52	5	55727305
chr12	55820412	55820441	chr12_154660	4	+	30	4	55820418
chr12	55997274	55997292	chr12_164875	4	-	19	4	55997275
chr12	56042065	56042108	chr12_154720	4	+	44	4	56042082
chr12	56128573	56128610	chr12_154774	5	+	38	5	56128590
chr12	56153925	56153984	chr12_154828	7	+	60	6	56153945
chr12	56160242	56160306	chr12_154842	5	+	65	4	56160263
chr12	56190363	56190401	chr12_154849	6	+	39	6	56190367
chr12	56190404	56190450	chr12_154850	6	+	47	5	56190424
chr12	56272145	56272207	chr12_165014	5	-	63	5	56272170
chr12	56602775	56602793	chr12_154925	4	+	19	4	56602776
chr12	56643681	56643747	chr12_165254	15	-	67	9	56643727
chr12	56645026	56645096	chr12_165260	32	-	71	22	56645040
chr12	56688049	56688190	chr12_165323	35	-	142	9	56688067
chr12	56725262	56725318	chr12_165364	7	-	57	6	56725277
chr12	57096721	57096753	chr12_165415	4	-	33	4	57096730
chr12	57489306	57489345	chr12_155129	5	+	40	5	57489321
chr12	57750680	57750765	chr12_165630	10	-	86	7	57750737
chr12	57755806	57755875	chr12_155310	5	+	70	5	57755821
chr12	64404623	64404786	chr12_155600	13	+	164	5	64404716
chr12	65465648	65465685	chr12_155759	4	+	38	4	65465650
chr12	65824532	65824553	chr12_155760	4	+	22	4	65824534
chr12	66136839	66136858	chr12_155826	4	+	20	4	66136840
chr12	67269571	67269635	chr12_155860	5	+	65	5	67269605
chr12	69586269	69586312	chr12_156211	6	+	44	5	69586287
chr12	74540366	74540396	chr12_156463	4	+	31	4	74540368
chr12	79048231	79048253	chr12_166547	4	-	23	4	79048233
chr12	80743798	80743820	chr12_156643	4	+	23	4	80743799
chr12	84912522	84912598	chr12_166766	7	-	77	4	84912558
chr12	93501986	93502032	chr12_156892	4	+	47	4	93502010
chr12	93570558	93570577	chr12_167089	5	-	20	5	93570560
chr12	95858962	95859024	chr12_157060	7	+	63	5	95858990
chr12	96035430	96035474	chr12_167310	5	-	45	5	96035443
chr12	96036020	96036095	chr12_157076	9	+	76	5	96036049
chr12	96400046	96400079	chr12_167356	4	-	34	4	96400054
chr12	97664519	97664538	chr12_167370	4	-	20	4	97664521
chr12	98503502	98503575	chr12_157120	20	+	74	12	98503549
chr12	98504279	98504323	chr12_157121	53	+	45	49	98504295
chr12	98595793	98595832	chr12_157172	6	+	40	6	98595808
chr12	98599640	98599822	chr12_157177	19	+	183	8	98599673
chr12	98599846	98599883	chr12_157178	24	+	38	24	98599861
chr12	98601453	98601516	chr12_157185	5	+	64	5	98601478
chr12	101697913	101698132	chr12_157332	13	+	220	6	101697933
chr12	102118543	102118583	chr12_167542	4	-	41	4	102118566
chr12	103937694	103937806	chr12_157570	7	+	113	5	103937711
chr12	104318978	104319010	chr12_157641	4	+	33	4	104318990
chr12	108787816	108787843	chr12_168010	17	-	28	17	108787824
chr12	109092872	109092925	chr12_168063	4	-	54	4	109092892
chr12	109574890	109574900	chr12_158230	4	+	11	4	109574893
chr12	109575997	109576016	chr12_158231	4	+	20	4	109575997
chr12	110281249	110281380	chr12_158298	13	+	132	8	110281312
chr12	110281699	110281753	chr12_158303	6	+	55	5	110281710
chr12	110340763	110340869	chr12_158356	11	+	107	7	110340814
chr12	110343320	110343379	chr12_158363	7	+	60	5	110343336
chr12	110345261	110345297	chr12_158371	5	+	37	5	110345277
chr12	110493072	110493231	chr12_168303	5	-	160	4	110493201
chr12	111685728	111685748	chr12_168505	4	-	21	4	111685730
chr12	112022224	112022583	chr12_158648	11	+	360	5	112022350
chr12	116911300	116911328	chr12_169179	4	-	29	4	116911306
chr12	118135865	118135895	chr12_169322	6	-	31	6	118135870
chr12	118136175	118136219	chr12_159044	4	+	45	4	118136190
chr12	120291843	120291877	chr12_169673	13	-	35	13	120291852
chr12	120293093	120293159	chr12_169674	3	-	67	3	120293122
chr12	120425767	120425786	chr12_159152	5	+	20	5	120425768
chr12	120438116	120438149	chr12_159153	5	+	34	5	120438122
chr12	120469509	120469543	chr12_169728	6	-	35	6	120469518
chr12	120534856	120534911	chr12_159195	5	+	56	5	120534876
chr12	121253346	121253378	chr12_169871	4	-	33	4	121253351
chr12	122020317	122020336	chr12_170071	4	-	20	4	122020318
chr12	122974940	122974985	chr12_159937	5	+	46	5	122974961
chr12	123034598	123034617	chr12_170279	6	-	20	6	123034600
chr12	123293260	123293292	chr12_170375	15	-	33	15	123293263
chr12	123579223	123579243	chr12_160020	4	+	21	4	123579226
chr12	124363668	124363690	chr12_170643	8	-	23	8	124363673
chr12	124567459	124567496	chr12_170836	5	-	38	5	124567469
chr12	124778536	124778586	chr12_170857	5	-	51	5	124778566
chr12	124913738	124913774	chr12_170935	5	-	37	5	124913755
chr12	124914586	124914645	chr12_170938	7	-	60	4	124914626
chr12	124939993	124940041	chr12_160215	33	+	49	32	124940003
chr12	124927831	124927873	chr12_170942	7	-	43	7	124927841
chr12	125012566	125012610	chr12_160235	5	+	45	5	125012589
chr12	125025196	125025237	chr12_160246	5	+	42	5	125025214
chr12	127165927	127166038	chr12_171017	43	-	112	24	127166010
chr12	127166124	127166167	chr12_171019	9	-	44	9	127166148
chr12	127166325	127166439	chr12_171020	14	-	115	8	127166406
chr12	128599053	128599076	chr12_160344	4	+	24	4	128599053
chr12	129127718	129127739	chr12_171082	4	-	22	4	129127719
chr12	130367178	130367197	chr12_160368	5	+	20	5	130367180
chr12	130872083	130872126	chr12_160375	8	+	44	6	130872110
chr12	130872583	130872609	chr12_160378	5	+	27	5	130872583
chr12	131297295	131297315	chr12_171137	4	-	21	4	131297297
chr12	131921405	131921484	chr12_160539	6	+	80	5	131921458
chr12	131982472	131982478	chr12_171150	4	-	7	4	131982473
chr12	131986513	131986525	chr12_171151	4	-	13	4	131986513
chr12	131987718	131987770	chr12_160599	9	+	53	8	131987741
chr12	132031317	132031352	chr12_160652	7	+	36	7	132031324
chr13	26051234	26051284	chr13_145684	4	-	51	4	26051242
chr13	26051596	26051648	chr13_145687	4	-	53	4	26051608
chr13	27255064	27255093	chr13_140733	16	+	30	16	27255070
chr13	27255099	27255134	chr13_140734	24	+	36	24	27255114
chr13	27255488	27255522	chr13_140736	20	+	35	20	27255500
chr13	27621338	27621368	chr13_140750	4	+	31	4	27621345
chr13	28662409	28662441	chr13_140864	7	+	33	6	28662422
chr13	29513410	29513472	chr13_145897	6	-	63	5	29513455
chr13	30115277	30115299	chr13_146058	3	-	23	3	30115279
chr13	31161465	31161501	chr13_146150	6	-	37	6	31161478
chr13	31753789	31753816	chr13_146158	8	-	28	8	31753794
chr13	32427981	32428005	chr13_141013	4	+	25	4	32427982
chr13	38688358	38688414	chr13_141453	4	+	57	4	38688382
chr13	39014271	39014324	chr13_146487	5	-	54	5	39014284
chr13	42301745	42301777	chr13_141713	4	+	33	4	42301753
chr13	45336311	45336385	chr13_147092	16	-	75	15	45336358
chr13	45337486	45337542	chr13_147100	12	-	57	7	45337502
chr13	45337549	45337609	chr13_147101	17	-	61	12	45337571
chr13	48266325	48266349	chr13_147268	4	-	25	4	48266328
chr13	48253807	48253834	chr13_141981	6	+	28	5	48253810
chr13	49913166	49913178	chr13_147366	5	-	13	5	49913171
chr13	49913792	49913818	chr13_147368	5	-	27	5	49913792
chr13	52016638	52016670	chr13_147609	4	-	33	4	52016639
chr13	63273138	63273160	chr13_142693	4	+	23	4	63273138
chr13	76886131	76886206	chr13_148702	8	-	76	5	76886180
chr13	77698033	77698064	chr13_143093	5	+	32	5	77698041
chr13	78277392	78277413	chr13_143141	6	+	22	6	78277393
chr13	78603351	78603411	chr13_148996	4	-	61	4	78603373
chr13	94634281	94634305	chr13_149292	5	-	25	5	94634287
chr13	94651396	94651432	chr13_149294	5	-	37	5	94651396
chr13	97993126	97993185	chr13_143987	6	+	60	6	97993158
chr13	99494692	99494733	chr13_144239	4	+	42	4	99494713
chr13	99981252	99981333	chr13_144353	6	+	82	4	99981284
chr13	106445482	106445508	chr13_149799	12	-	27	12	106445489
chr13	107320922	107320962	chr13_149870	38	-	41	38	107320939
chr13	112052077	112052102	chr13_144843	8	+	26	8	112052078
chr13	112690156	112690192	chr13_144856	4	+	37	4	112690157
chr13	113306518	113306606	chr13_145065	10	+	89	6	113306592
chr13	113309642	113309660	chr13_145066	5	+	19	5	113309642
chr14	19300340	19300456	chr14_103342	15	-	117	10	19300437
chr14	19300483	19300627	chr14_103343	15	-	145	7	19300537
chr14	19300642	19300739	chr14_103344	21	-	98	15	19300701
chr14	19300796	19300846	chr14_103346	9	-	51	8	19300823
chr14	19301163	19301228	chr14_103351	9	-	66	7	19301199
chr14	19301531	19301591	chr14_103357	10	-	61	9	19301546
chr14	19301941	19302017	chr14_103361	30	-	77	26	19301966
chr14	19302087	19302241	chr14_103363	18	-	155	7	19302156
chr14	19302345	19302490	chr14_103365	25	-	146	10	19302361
chr14	19302575	19302653	chr14_103367	14	-	79	10	19302613
chr14	19357065	19357088	chr14_103371	4	-	24	4	19357065
chr14	19976282	19976301	chr14_95770	4	+	20	4	19976283
chr14	20323178	20323270	chr14_103395	22	-	93	13	20323215
chr14	20323276	20323328	chr14_103396	16	-	53	8	20323284
chr14	20326452	20326523	chr14_103399	22	-	72	19	20326483
chr14	20457089	20457119	chr14_95794	5	+	31	5	20457096
chr14	20625369	20625429	chr14_95823	5	+	61	4	20625374
chr14	20632999	20633061	chr14_95825	7	+	63	7	20633019
chr14	20613784	20613832	chr14_103449	11	-	49	11	20613801
chr14	21234203	21234229	chr14_103541	5	-	27	5	21234214
chr14	21269333	21269411	chr14_103598	10	-	79	5	21269341
chr14	22575171	22575213	chr14_103756	4	-	43	4	22575189
chr14	23033502	23033545	chr14_103873	7	-	44	7	23033521
chr14	23061544	23061622	chr14_103903	6	-	79	5	23061595
chr14	23062952	23063012	chr14_103906	6	-	61	6	23062988
chr14	39177620	39177687	chr14_97021	10	+	68	9	39177644
chr14	45095414	45095458	chr14_97209	5	+	45	5	45095420
chr14	45110885	45110958	chr14_97223	7	+	74	4	45110941
chr14	48046097	48046120	chr14_105149	4	-	24	4	48046103
chr14	50944319	50944388	chr14_105488	10	-	70	8	50944350
chr14	54441275	54441338	chr14_105782	5	-	64	4	54441314
chr14	60156029	60156075	chr14_106094	4	-	47	4	60156045
chr14	60643888	60643907	chr14_106115	4	-	20	4	60643890
chr14	63727456	63727525	chr14_106243	4	-	70	4	63727486
chr14	68879597	68879631	chr14_106581	4	-	35	4	68879604
chr14	69771199	69771282	chr14_99511	7	+	84	5	69771258
chr14	73229243	73229267	chr14_106904	5	-	25	5	73229245
chr14	73588826	73588867	chr14_106965	5	-	42	5	73588839
chr14	73713608	73713647	chr14_106972	4	-	40	4	73713625
chr14	73713781	73713823	chr14_106975	4	-	43	4	73713799
chr14	75003026	75003083	chr14_100216	4	+	58	4	75003051
chr14	76788028	76788058	chr14_107369	4	-	31	4	76788030
chr14	76968912	76968949	chr14_107397	3	-	38	3	76968930
chr14	77028286	77028328	chr14_107414	4	-	43	4	77028300
chr14	77708180	77708208	chr14_100630	9	+	29	9	77708193
chr14	77710837	77710847	chr14_100633	5	+	11	5	77710837
chr14	77754975	77755021	chr14_107568	5	-	47	5	77755000
chr14	81202704	81202757	chr14_107705	7	-	54	6	81202719
chr14	89168385	89168413	chr14_100932	12	+	29	12	89168390
chr14	92941309	92941366	chr14_108519	6	-	58	5	92941317
chr14	95533469	95533629	chr14_108716	43	-	161	11	95533551
chr14	95535084	95535125	chr14_101262	5	+	42	5	95535090
chr14	100239480	100239539	chr14_101774	6	+	60	6	100239492
chr14	101964658	101964716	chr14_101989	8	+	59	5	101964691
chr14	102039142	102039188	chr14_102126	5	+	47	5	102039162
chr14	102086985	102087048	chr14_109112	13	-	64	9	102086997
chr14	102506918	102507008	chr14_109147	7	-	91	5	102506956
chr14	103102392	103102414	chr14_109270	4	-	23	4	103102396
chr14	103334388	103334441	chr14_102444	6	+	54	5	103334395
chr14	103337844	103337870	chr14_102456	5	+	27	5	103337848
chr14	103337888	103337975	chr14_102457	21	+	88	15	103337922
chr14	103519789	103519959	chr14_109287	32	-	171	11	103519925
chr14	103519965	103520042	chr14_109288	14	-	78	7	103519991
chr14	103520121	103520293	chr14_109289	27	-	173	17	103520220
chr14	103520468	103520608	chr14_109293	22	-	141	6	103520490
chr14	103521347	103521462	chr14_109303	21	-	116	9	103521416
chr14	103521797	103521950	chr14_109309	28	-	154	13	103521846
chr14	103522022	103522177	chr14_109310	36	-	156	13	103522086
chr14	103522300	103522505	chr14_109311	33	-	206	13	103522374
chr14	103698025	103698106	chr14_109342	6	-	82	5	103698064
chr14	104770267	104770370	chr14_109464	8	-	104	5	104770291
chr14	105313121	105313142	chr14_109774	6	-	22	6	105313124
chr14	105468832	105468895	chr14_103276	7	+	64	5	105468868
chr14	105498949	105498988	chr14_103314	4	+	40	4	105498956
chr15	22258407	22258458	chr15_82171	4	+	52	4	22258424
chr15	22838814	22838865	chr15_82203	4	+	52	4	22838835
chr15	24675895	24675921	chr15_89170	8	-	27	8	24675899
chr15	24977863	24977885	chr15_89177	6	-	23	6	24977864
chr15	28177095	28177114	chr15_89289	4	-	20	4	28177096
chr15	34341837	34341869	chr15_89448	4	-	33	4	34341841
chr15	34362298	34362327	chr15_89470	4	-	30	4	34362317
chr15	34415892	34415940	chr15_82421	3	+	49	3	34415913
chr15	36244720	36244743	chr15_89546	4	-	24	4	36244723
chr15	40134626	40134662	chr15_82625	5	+	37	5	40134631
chr15	40418414	40418449	chr15_82731	4	+	36	4	40418425
chr15	42567460	42567488	chr15_90045	2	-	29	2	42567466
chr15	42729869	42729885	chr15_90054	4	-	17	4	42729870
chr15	42730127	42730129	chr15_90055	4	-	3	4	42730127
chr15	43792974	43793001	chr15_83303	5	+	28	5	43792978
chr15	44711519	44711605	chr15_83421	9	+	87	6	44711546
chr15	50840967	50840987	chr15_90553	4	-	21	4	50840970
chr15	51751442	51751465	chr15_83801	4	+	24	4	51751445
chr15	53911988	53912010	chr15_83881	6	+	23	6	53911993
chr15	54126243	54126268	chr15_90756	5	-	26	5	54126249
chr15	56096578	56096598	chr15_83917	5	+	21	5	56096581
chr15	64130871	64130899	chr15_84295	4	+	29	4	64130872
chr15	64155923	64156002	chr15_91638	7	-	80	5	64155957
chr15	64156003	64156075	chr15_91639	8	-	73	6	64156020
chr15	64156787	64156909	chr15_91643	13	-	123	9	64156850
chr15	64162851	64163017	chr15_91651	16	-	167	6	64162931
chr15	64980863	64980951	chr15_91775	5	-	89	4	64980884
chr15	65554886	65554940	chr15_84489	7	+	55	5	65554894
chr15	65869541	65869593	chr15_84557	4	+	53	4	65869572
