#Chr	Start	End	PeakID	Tags	Strand	Length	maxHeight	Summit	regionInfo	GeneID	Symbol	Chr	GeneType	Description
chr11	64200258	64200293	chr11_28009	6	+	36	5	64200264	CDS:1.0;	ENSG00000168439.16	STIP1	chr11	protein_coding	stress-induced phosphoprotein 1
chr11	67607478	67607527	chr11_30849	5	+	50	5	67607500	intron:1.0;	ENSG00000167792.11	NDUFV1	chr11	protein_coding	NADH dehydrogenase (ubiquinone) flavoprotein 1, 51kDa
chr11	62621865	62621953	chr11_48697	10	-	89	6	62621888	five_prime_UTR:0.07;CDS:0.93;	ENSG00000149541.9	B3GAT3	chr11	protein_coding	beta-1,3-glucuronyltransferase 3
chr11	65998568	65998646	chr11_50409	6	-	79	5	65998590	three_prime_UTR:0.38;CDS:0.62;	ENSG00000175376.8	EIF1AD	chr11	protein_coding	eukaryotic translation initiation factor 1A domain containing
chr11	65615970	65616008	chr11_29254	6	+	39	6	65615978	intron:1.0;	ENSG00000213445.8	SIPA1	chr11	protein_coding	signal-induced proliferation-associated 1
chr11	120451511	120451548	chr11_38161	5	+	38	5	120451520	CDS:1.0;	ENSG00000196914.8	ARHGEF12	chr11	protein_coding	Rho guanine nucleotide exchange factor (GEF) 12
chr11	102448828	102448868	chr11_55337	8	-	41	5	102448843	intron:1.0;	ENSG00000152558.14	TMEM123	chr11	protein_coding	transmembrane protein 123
chr11	65437650	65437845	chr11_29014	22	+	196	9	65437813	noncoding_exon:1.0;	ENSG00000245532.5	NEAT1	chr11	lincRNA	nuclear paraspeckle assembly transcript 1 (non-protein coding)
chr11	134225254	134225314	chr11_39937	4	+	61	4	134225284	CDS:1.0;	ENSG00000151502.10	VPS26B	chr11	protein_coding	vacuolar protein sorting 26 homolog B (S. pombe)
chr11	65435952	65436297	chr11_28998	55	+	346	10	65436249	noncoding_exon:1.0;	ENSG00000245532.5	NEAT1	chr11	lincRNA	nuclear paraspeckle assembly transcript 1 (non-protein coding)
chr11	118998233	118998268	chr11_37554	5	+	36	5	118998235	CDS:1.0;	ENSG00000186166.8	CCDC84	chr11	protein_coding	coiled-coil domain containing 84
chr11	65425595	65425654	chr11_28886	12	+	60	9	65425628	noncoding_exon:1.0;	ENSG00000245532.5	NEAT1	chr11	lincRNA	nuclear paraspeckle assembly transcript 1 (non-protein coding)
chr11	123057652	123057782	chr11_57807	14	-	131	9	123057714	three_prime_UTR:0.62;CDS:0.38;	ENSG00000109971.13	HSPA8	chr11	protein_coding	heat shock 70kDa protein 8
chr11	67502545	67502608	chr11_51056	4	-	64	4	67502566	CDS:1.0;	ENSG00000110697.12	PITPNM1	chr11	protein_coding	phosphatidylinositol transfer protein, membrane-associated 1
chr11	130129047	130129206	chr11_39706	27	+	160	10	130129143	CDS:1.0;	ENSG00000084234.16	APLP2	chr11	protein_coding	amyloid beta (A4) precursor-like protein 2
chr11	1753584	1753670	chr11_40783	8	-	87	5	1753654	intron:1.0;	ENSG00000250644.2	RP11-295K3.1	chr11	protein_coding		--
chr11	17380018	17380129	chr11_22499	7	+	112	4	17380032	intergenic;	--
chr11	62133634	62133749	chr11_27261	9	+	116	6	62133695	intron:1.0;	ENSG00000149503.12	INCENP	chr11	protein_coding	inner centromere protein antigens 135/155kDa
chr11	65443344	65443407	chr11_29073	11	+	64	10	65443368	noncoding_exon:1.0;	ENSG00000245532.5	NEAT1	chr11	lincRNA	nuclear paraspeckle assembly transcript 1 (non-protein coding)
chr11	65431495	65431580	chr11_28946	10	+	86	8	65431541	noncoding_exon:1.0;	ENSG00000245532.5	NEAT1	chr11	lincRNA	nuclear paraspeckle assembly transcript 1 (non-protein coding)
chr11	47467577	47467638	chr11_46871	7	-	62	6	47467603	three_prime_UTR:1.0;	ENSG00000149187.17	CELF1	chr11	protein_coding	CUGBP, Elav-like family member 1
chr11	72237608	72237751	chr11_32421	14	+	144	7	72237638	CDS:1.0;	ENSG00000165458.13	INPPL1	chr11	protein_coding	inositol polyphosphate phosphatase-like 1
chr11	33717428	33717470	chr11_45404	5	-	43	5	33717439	CDS:1.0;	ENSG00000085063.14	CD59	chr11	protein_coding	CD59 molecule, complement regulatory protein
chr11	65500348	65500519	chr11_29115	40	+	172	15	65500453	noncoding_exon:1.0;	ENSG00000251562.7	MALAT1	chr11	lincRNA	metastasis associated lung adenocarcinoma transcript 1 (non-protein coding)
chr11	62856153	62856206	chr11_27474	9	+	54	7	62856168	five_prime_UTR:1.0;	ENSG00000168003.16	SLC3A2	chr11	protein_coding	solute carrier family 3 (amino acid transporter heavy chain), member 2
chr11	47240094	47240156	chr11_46794	5	-	63	5	47240125	three_prime_UTR:0.34;CDS:0.66;	ENSG00000134575.9	ACP2	chr11	protein_coding	acid phosphatase 2, lysosomal
chr11	71438895	71438963	chr11_51832	6	-	69	6	71438928	CDS:1.0;	ENSG00000172893.15	DHCR7	chr11	protein_coding	7-dehydrocholesterol reductase
chr11	57742116	57742135	chr11_26393	7	+	20	7	57742116	intron:1.0;	ENSG00000254462.1	TMX2-CTNND1	chr11	protein_coding	TMX2-CTNND1 readthrough (NMD candidate)
chr11	837505	837574	chr11_19561	5	+	70	5	837523	CDS:1.0;	ENSG00000177697.17	CD151	chr11	protein_coding	CD151 molecule (Raph blood group)
chr11	66052675	66052719	chr11_29615	6	+	45	6	66052710	CDS:1.0;	ENSG00000087365.14	SF3B2	chr11	protein_coding	splicing factor 3b, subunit 2, 145kDa
chr11	130143378	130143419	chr11_39742	6	+	42	6	130143394	CDS:1.0;	ENSG00000084234.16	APLP2	chr11	protein_coding	amyloid beta (A4) precursor-like protein 2
chr11	65439458	65439516	chr11_29035	9	+	59	7	65439465	noncoding_exon:1.0;	ENSG00000245532.5	NEAT1	chr11	lincRNA	nuclear paraspeckle assembly transcript 1 (non-protein coding)
chr11	67441965	67442009	chr11_50995	5	-	45	5	67441976	CDS:1.0;	ENSG00000172725.13	CORO1B	chr11	protein_coding	coronin, actin binding protein, 1B
chr11	2396642	2396708	chr11_20013	12	+	67	9	2396658	CDS:1.0;	ENSG00000110651.11	CD81	chr11	protein_coding	CD81 molecule
chr11	44933162	44933221	chr11_45985	8	-	60	7	44933192	three_prime_UTR:1.0;	ENSG00000175274.18	TP53I11	chr11	protein_coding	tumor protein p53 inducible protein 11
chr11	2377516	2377576	chr11_19944	11	+	61	7	2377547	five_prime_UTR:0.55;CDS:0.45;	ENSG00000110651.11	CD81	chr11	protein_coding	CD81 molecule
chr11	47426215	47426272	chr11_46845	6	-	58	5	47426225	CDS:1.0;	ENSG00000165916.8	PSMC3	chr11	protein_coding	proteasome (prosome, macropain) 26S subunit, ATPase, 3
chr11	65428245	65428554	chr11_28911	65	+	310	15	65428384	noncoding_exon:1.0;	ENSG00000245532.5	NEAT1	chr11	lincRNA	nuclear paraspeckle assembly transcript 1 (non-protein coding)
chr11	819669	819713	chr11_19495	5	+	45	5	819686	five_prime_UTR:1.0;	ENSG00000177666.15	PNPLA2	chr11	protein_coding	patatin-like phospholipase domain containing 2
chr11	64769089	64769129	chr11_49607	8	-	41	7	64769103	CDS:1.0;	ENSG00000168066.20	SF1	chr11	protein_coding	splicing factor 1
chr11	65500543	65500817	chr11_29116	75	+	275	21	65500714	noncoding_exon:1.0;	ENSG00000251562.7	MALAT1	chr11	lincRNA	metastasis associated lung adenocarcinoma transcript 1 (non-protein coding)
chr11	86245003	86245028	chr11_34023	4	+	26	4	86245009	five_prime_UTR:1.0;	ENSG00000074266.17	EED	chr11	protein_coding	embryonic ectoderm development
chr11	85664731	85664817	chr11_54205	8	-	87	5	85664767	CDS:1.0;	ENSG00000137504.13	CREBZF	chr11	protein_coding	CREB/ATF bZIP transcription factor
chr11	66362937	66363014	chr11_50556	11	-	78	8	66362984	three_prime_UTR:1.0;	ENSG00000174669.11	SLC29A2	chr11	protein_coding	solute carrier family 29 (equilibrative nucleoside transporter), member 2
chr11	62559600	62559708	chr11_48503	25	-	109	17	62559661	three_prime_UTR:0.72;CDS:0.28;	ENSG00000254772.9	EEF1G	chr11	protein_coding	eukaryotic translation elongation factor 1 gamma
chr11	68460137	68460213	chr11_51316	10	-	77	6	68460145	intergenic;	--
chr11	130069888	130070082	chr11_39628	28	+	195	9	130069971	five_prime_UTR:0.37;CDS:0.54;intron:0.09;	ENSG00000084234.16	APLP2	chr11	protein_coding	amyloid beta (A4) precursor-like protein 2
chr11	66055541	66055585	chr11_29626	10	+	45	7	66055558	CDS:1.0;	ENSG00000087365.14	SF3B2	chr11	protein_coding	splicing factor 3b, subunit 2, 145kDa
chr11	130122338	130122513	chr11_39692	22	+	176	8	130122469	CDS:1.0;	ENSG00000084234.16	APLP2	chr11	protein_coding	amyloid beta (A4) precursor-like protein 2
chr11	62628864	62628994	chr11_48725	18	-	131	9	62628893	CDS:1.0;	ENSG00000089597.16	GANAB	chr11	protein_coding	glucosidase, alpha; neutral AB
chr11	65423930	65424145	chr11_28873	48	+	216	15	65423974	noncoding_exon:1.0;	ENSG00000245532.5	NEAT1	chr11	lincRNA	nuclear paraspeckle assembly transcript 1 (non-protein coding)
chr11	60920955	60920988	chr11_26793	8	+	34	8	60920980	CDS:1.0;	ENSG00000110108.9	TMEM109	chr11	protein_coding	transmembrane protein 109
chr11	59566374	59566410	chr11_47717	5	-	37	5	59566377	intergenic;	--
chr11	1757323	1757449	chr11_40793	16	-	127	6	1757323	five_prime_UTR:0.17;CDS:0.83;	ENSG00000250644.2	RP11-295K3.1	chr11	protein_coding		--
chr11	46759389	46759442	chr11_46501	8	-	54	7	46759424	CDS:1.0;	ENSG00000175216.14	CKAP5	chr11	protein_coding	cytoskeleton associated protein 5
chr11	62888501	62888538	chr11_27549	8	+	38	7	62888511	CDS:1.0;	ENSG00000168003.16	SLC3A2	chr11	protein_coding	solute carrier family 3 (amino acid transporter heavy chain), member 2
chr11	65428588	65428640	chr11_28912	10	+	53	7	65428622	noncoding_exon:1.0;	ENSG00000245532.5	NEAT1	chr11	lincRNA	nuclear paraspeckle assembly transcript 1 (non-protein coding)
chr11	63164050	63164069	chr11_27563	2	+	20	2	63164051	antisense;	ENSG00000196600.12	SLC22A25	chr11	protein_coding	solute carrier family 22, member 25
chr11	18407420	18407584	chr11_22661	24	+	165	11	18407522	three_prime_UTR:1.0;	ENSG00000134333.13	LDHA	chr11	protein_coding	lactate dehydrogenase A
chr11	65501093	65501252	chr11_29119	22	+	160	8	65501175	noncoding_exon:1.0;	ENSG00000251562.7	MALAT1	chr11	lincRNA	metastasis associated lung adenocarcinoma transcript 1 (non-protein coding)
chr11	65429635	65429677	chr11_28924	7	+	43	7	65429648	noncoding_exon:1.0;	ENSG00000245532.5	NEAT1	chr11	lincRNA	nuclear paraspeckle assembly transcript 1 (non-protein coding)
chr11	1754985	1755028	chr11_40790	6	-	44	5	1755015	CDS:1.0;	ENSG00000250644.2	RP11-295K3.1	chr11	protein_coding		--
chr11	72434165	72434236	chr11_52207	11	-	72	8	72434205	CDS:1.0;	ENSG00000162129.12	CLPB	chr11	protein_coding	ClpB homolog, mitochondrial AAA ATPase chaperonin
chr11	61311783	61311830	chr11_48027	6	-	48	5	61311786	CDS:1.0;	ENSG00000167986.13	DDB1	chr11	protein_coding	damage-specific DNA binding protein 1, 127kDa
chr11	119015735	119015758	chr11_57417	12	-	24	12	119015753	three_prime_UTR:1.0;	ENSG00000118181.10	RPS25	chr11	protein_coding	ribosomal protein S25
chr11	57515656	57515686	chr11_47603	5	-	31	5	57515663	five_prime_UTR:1.0;	ENSG00000149150.8	SLC43A1	chr11	protein_coding	solute carrier family 43 (amino acid system L transporter), member 1
chr11	71434661	71434695	chr11_51804	7	-	35	7	71434677	three_prime_UTR:1.0;	ENSG00000172893.15	DHCR7	chr11	protein_coding	7-dehydrocholesterol reductase
chr11	134379901	134379922	chr11_40071	4	+	22	4	134379902	antisense;	ENSG00000109956.12	B3GAT1	chr11	protein_coding	beta-1,3-glucuronyltransferase 1
chr11	63976203	63976378	chr11_27883	35	+	176	10	63976353	three_prime_UTR:0.33;CDS:0.55;intron:0.12;	ENSG00000176340.3	COX8A	chr11	protein_coding	cytochrome c oxidase subunit VIIIA (ubiquitous)
chr11	65574037	65574089	chr11_29228	4	+	53	3	65574068	three_prime_UTR:1.0;	ENSG00000176973.7	FAM89B	chr11	protein_coding	family with sequence similarity 89, member B
chr11	694765	694890	chr11_40282	10	-	126	5	694826	CDS:1.0;	ENSG00000177030.16	DEAF1	chr11	protein_coding	DEAF1 transcription factor
chr11	771019	771038	chr11_19418	5	+	20	5	771021	antisense;	ENSG00000177225.16	PDDC1	chr11	protein_coding	Parkinson disease 7 domain containing 1
chr11	61300172	61300219	chr11_47999	6	-	48	5	61300188	CDS:1.0;	ENSG00000167986.13	DDB1	chr11	protein_coding	damage-specific DNA binding protein 1, 127kDa
chr11	60900868	60900912	chr11_47867	5	-	45	5	60900879	CDS:1.0;	ENSG00000110107.8	PRPF19	chr11	protein_coding	pre-mRNA processing factor 19
chr11	66056837	66056865	chr11_29627	5	+	29	5	66056837	CDS:1.0;	ENSG00000087365.14	SF3B2	chr11	protein_coding	splicing factor 3b, subunit 2, 145kDa
chr11	4973554	4973576	chr11_41605	5	-	23	5	4973559	noncoding_exon:1.0;	ENSG00000225003.1	OR51A5P	chr11	unprocessed_pseudogene	olfactory receptor, family 51, subfamily A, member 5 pseudogene
chr11	130130037	130130080	chr11_39709	7	+	44	7	130130041	CDS:1.0;	ENSG00000084234.16	APLP2	chr11	protein_coding	amyloid beta (A4) precursor-like protein 2
chr11	61419951	61420014	chr11_48158	6	-	64	5	61419984	CDS:1.0;	ENSG00000149532.15	CPSF7	chr11	protein_coding	cleavage and polyadenylation specific factor 7, 59kDa
chr11	7699957	7699988	chr11_20931	10	+	32	10	7699970	antisense;	ENSG00000183378.11	OVCH2	chr11	protein_coding	ovochymase 2 (gene/pseudogene)
chr11	463462	463489	chr11_40157	6	-	28	6	463469	noncoding_exon:1.0;	ENSG00000255237.1	RP13-317D12.3	chr11	antisense		--
chr11	803227	803279	chr11_40428	7	-	53	6	803248	CDS:1.0;	ENSG00000177595.17	PIDD1	chr11	protein_coding	p53-induced death domain protein 1
chr11	904764	904859	chr11_40606	9	-	96	5	904778	five_prime_UTR:0.45;CDS:0.55;	ENSG00000177830.17	CHID1	chr11	protein_coding	chitinase domain containing 1
chr11	67584684	67584736	chr11_30826	11	+	53	10	67584710	CDS:1.0;	ENSG00000084207.15	GSTP1	chr11	protein_coding	glutathione S-transferase pi 1
chr11	59608549	59608625	chr11_47756	8	-	77	6	59608560	CDS:1.0;	ENSG00000110048.11	OSBP	chr11	protein_coding	oxysterol binding protein
chr11	73975519	73975592	chr11_52816	6	-	74	5	73975574	CDS:1.0;	ENSG00000175567.8	UCP2	chr11	protein_coding	uncoupling protein 2 (mitochondrial, proton carrier)
chr11	3855994	3856122	chr11_20300	11	+	129	6	3856018	five_prime_UTR:1.0;	ENSG00000167323.9	STIM1	chr11	protein_coding	stromal interaction molecule 1
chr11	2688550	2688633	chr11_41094	9	-	84	6	2688582	noncoding_exon:1.0;	ENSG00000269821.1	KCNQ1OT1	chr11	antisense	KCNQ1 opposite strand/antisense transcript 1 (non-protein coding)
chr11	57493529	57493569	chr11_47557	5	-	41	5	57493535	intron:1.0;	ENSG00000149150.8	SLC43A1	chr11	protein_coding	solute carrier family 43 (amino acid system L transporter), member 1
chr11	3856355	3856409	chr11_20303	6	+	55	6	3856387	CDS:1.0;	ENSG00000167323.9	STIM1	chr11	protein_coding	stromal interaction molecule 1
chr11	47767200	47767221	chr11_26019	5	+	22	5	47767202	antisense;	ENSG00000109920.12	FNBP4	chr11	protein_coding	formin binding protein 4
chr11	804391	804463	chr11_40437	7	-	73	5	804408	five_prime_UTR:1.0;	ENSG00000177595.17	PIDD1	chr11	protein_coding	p53-induced death domain protein 1
chr11	61792899	61792941	chr11_27132	4	+	43	4	61792915	five_prime_UTR:1.0;	ENSG00000168496.3	FEN1	chr11	protein_coding	flap structure-specific endonuclease 1
chr11	295599	295648	chr11_19075	5	+	50	5	295629	three_prime_UTR:1.0;	ENSG00000142102.15	ATHL1	chr11	protein_coding	ATH1, acid trehalase-like 1 (yeast)
chr11	314032	314114	chr11_19084	6	+	83	5	314072	five_prime_UTR:1.0;	ENSG00000185885.15	IFITM1	chr11	protein_coding	interferon induced transmembrane protein 1
chr11	67289430	67289451	chr11_50921	3	-	22	3	67289434	antisense;	ENSG00000172932.14	ANKRD13D	chr11	protein_coding	ankyrin repeat domain 13 family, member D
chr11	66624225	66624291	chr11_30052	6	+	67	5	66624259	CDS:1.0;	ENSG00000239306.4	RBM14	chr11	protein_coding	RNA binding motif protein 14
chr11	62572583	62572720	chr11_48533	22	-	138	14	62572583	CDS:1.0;	ENSG00000254772.9	EEF1G	chr11	protein_coding	eukaryotic translation elongation factor 1 gamma
chr11	65440752	65440823	chr11_29049	13	+	72	12	65440786	noncoding_exon:1.0;	ENSG00000245532.5	NEAT1	chr11	lincRNA	nuclear paraspeckle assembly transcript 1 (non-protein coding)
chr11	62639018	62639083	chr11_48763	15	-	66	14	62639035	CDS:1.0;	ENSG00000089597.16	GANAB	chr11	protein_coding	glucosidase, alpha; neutral AB
chr11	65444097	65444263	chr11_29081	34	+	167	18	65444236	noncoding_exon:1.0;	ENSG00000245532.5	NEAT1	chr11	lincRNA	nuclear paraspeckle assembly transcript 1 (non-protein coding)
chr11	70433655	70433760	chr11_32084	14	+	106	12	70433676	CDS:0.6;intron:0.4;	ENSG00000085733.15	CTTN	chr11	protein_coding	cortactin
chr11	45917533	45917563	chr11_46125	4	-	31	4	45917540	intron:1.0;	ENSG00000121680.15	PEX16	chr11	protein_coding	peroxisomal biogenesis factor 16
chr11	2394099	2394185	chr11_20001	23	+	87	14	2394132	CDS:1.0;	ENSG00000110651.11	CD81	chr11	protein_coding	CD81 molecule
chr11	27472378	27472491	chr11_44924	10	-	114	5	27472460	five_prime_UTR:1.0;	ENSG00000205213.13	LGR4	chr11	protein_coding	leucine-rich repeat containing G protein-coupled receptor 4
chr11	65129750	65129807	chr11_49967	6	-	58	6	65129777	CDS:1.0;	ENSG00000162298.16	SYVN1	chr11	protein_coding	synovial apoptosis inhibitor 1, synoviolin
chr11	64204263	64204385	chr11_28020	13	+	123	7	64204351	three_prime_UTR:1.0;	ENSG00000168439.16	STIP1	chr11	protein_coding	stress-induced phosphoprotein 1
chr11	65504078	65504284	chr11_29133	51	+	207	16	65504180	noncoding_exon:1.0;	ENSG00000251562.7	MALAT1	chr11	lincRNA	metastasis associated lung adenocarcinoma transcript 1 (non-protein coding)
chr11	46383663	46383752	chr11_25586	9	+	90	7	46383716	three_prime_UTR:1.0;	ENSG00000110492.15	MDK	chr11	protein_coding	midkine (neurite growth-promoting factor 2)
chr11	71434814	71434904	chr11_51807	9	-	91	6	71434845	three_prime_UTR:1.0;	ENSG00000172893.15	DHCR7	chr11	protein_coding	7-dehydrocholesterol reductase
chr11	123057554	123057631	chr11_57806	13	-	78	8	123057585	three_prime_UTR:1.0;	ENSG00000109971.13	HSPA8	chr11	protein_coding	heat shock 70kDa protein 8
chr11	64804640	64804682	chr11_49706	7	-	43	7	64804657	CDS:1.0;	ENSG00000133895.14	MEN1	chr11	protein_coding	multiple endocrine neoplasia I
chr11	62629837	62629879	chr11_48732	6	-	43	6	62629851	CDS:1.0;	ENSG00000089597.16	GANAB	chr11	protein_coding	glucosidase, alpha; neutral AB
chr11	124055225	124055243	chr11_57899	5	-	19	5	124055227	antisense;	ENSG00000213182.3	OR10D5P	chr11	unprocessed_pseudogene	olfactory receptor, family 10, subfamily D, member 5 pseudogene
chr11	71435394	71435472	chr11_51816	10	-	79	9	71435422	CDS:1.0;	ENSG00000172893.15	DHCR7	chr11	protein_coding	7-dehydrocholesterol reductase
chr11	840230	840480	chr11_40477	40	-	251	8	840288	three_prime_UTR:0.56;CDS:0.44;	ENSG00000177700.5	POLR2L	chr11	protein_coding	polymerase (RNA) II (DNA directed) polypeptide L, 7.6kDa
chr11	64036004	64036033	chr11_27946	4	+	30	4	64036008	noncoding_exon:1.0;	ENSG00000256824.1	RP11-21A7A.2	chr11	antisense		--
chr11	377240	377293	chr11_19126	5	+	54	5	377261	CDS:1.0;	ENSG00000182272.11	B4GALNT4	chr11	protein_coding	beta-1,4-N-acetyl-galactosaminyl transferase 4
chr11	65502896	65503414	chr11_29130	146	+	519	19	65503020	noncoding_exon:1.0;	ENSG00000251562.7	MALAT1	chr11	lincRNA	metastasis associated lung adenocarcinoma transcript 1 (non-protein coding)
chr11	73760646	73760689	chr11_52762	4	-	44	4	73760650	five_prime_UTR:1.0;	ENSG00000175582.19	RAB6A	chr11	protein_coding	RAB6A, member RAS oncogene family
chr11	62630819	62630836	chr11_48741	9	-	18	9	62630825	CDS:1.0;	ENSG00000089597.16	GANAB	chr11	protein_coding	glucosidase, alpha; neutral AB
chr11	71434610	71434656	chr11_51803	5	-	47	5	71434617	three_prime_UTR:1.0;	ENSG00000172893.15	DHCR7	chr11	protein_coding	7-dehydrocholesterol reductase
chr11	64312502	64312604	chr11_28247	5	+	103	5	64312554	intron:1.0;	ENSG00000173153.13	ESRRA	chr11	protein_coding	estrogen-related receptor alpha
chr11	85664488	85664586	chr11_54203	9	-	99	7	85664521	CDS:1.0;	ENSG00000137504.13	CREBZF	chr11	protein_coding	CREB/ATF bZIP transcription factor
chr11	6619450	6619472	chr11_41922	2	-	23	2	6619451	five_prime_UTR:0.5;intron:0.5;	ENSG00000166340.14	TPP1	chr11	protein_coding	tripeptidyl peptidase I
chr11	43312090	43312133	chr11_24637	4	+	44	4	43312101	five_prime_UTR:0.86;CDS:0.14;	ENSG00000166181.12	API5	chr11	protein_coding	apoptosis inhibitor 5
chr11	119046689	119046733	chr11_57478	5	-	45	5	119046702	intron:1.0;	ENSG00000149428.18	HYOU1	chr11	protein_coding	hypoxia up-regulated 1
chr11	126271472	126271504	chr11_39372	5	+	33	5	126271480	CDS:1.0;	ENSG00000110074.10	FOXRED1	chr11	protein_coding	FAD-dependent oxidoreductase domain containing 1
chr11	117232650	117232676	chr11_36949	5	+	27	5	117232655	five_prime_UTR:1.0;	ENSG00000167257.10	RNF214	chr11	protein_coding	ring finger protein 214
chr11	64764610	64764657	chr11_49562	7	-	48	6	64764639	three_prime_UTR:1.0;	ENSG00000168066.20	SF1	chr11	protein_coding	splicing factor 1
chr11	1956297	1956337	chr11_19917	4	+	41	4	1956301	intron:1.0;	ENSG00000214026.10	MRPL23	chr11	protein_coding	mitochondrial ribosomal protein L23
chr11	130144223	130144347	chr11_39752	11	+	125	5	130144246	three_prime_UTR:1.0;	ENSG00000084234.16	APLP2	chr11	protein_coding	amyloid beta (A4) precursor-like protein 2
chr11	65429137	65429172	chr11_28919	7	+	36	7	65429147	noncoding_exon:1.0;	ENSG00000245532.5	NEAT1	chr11	lincRNA	nuclear paraspeckle assembly transcript 1 (non-protein coding)
chr11	61837777	61837811	chr11_27177	5	+	35	5	61837790	CDS:1.0;	ENSG00000134824.13	FADS2	chr11	protein_coding	fatty acid desaturase 2
chr11	65425218	65425346	chr11_28882	29	+	129	12	65425239	noncoding_exon:1.0;	ENSG00000245532.5	NEAT1	chr11	lincRNA	nuclear paraspeckle assembly transcript 1 (non-protein coding)
chr11	61866143	61866195	chr11_27201	5	+	53	5	61866165	three_prime_UTR:1.0;	ENSG00000134824.13	FADS2	chr11	protein_coding	fatty acid desaturase 2
chr11	65432424	65432488	chr11_28959	10	+	65	7	65432464	noncoding_exon:1.0;	ENSG00000245532.5	NEAT1	chr11	lincRNA	nuclear paraspeckle assembly transcript 1 (non-protein coding)
chr11	123058903	123059001	chr11_57817	20	-	99	12	123058967	intron:1.0;	ENSG00000109971.13	HSPA8	chr11	protein_coding	heat shock 70kDa protein 8
chr11	17075778	17075862	chr11_43862	34	-	85	22	17075787	intron:1.0;	ENSG00000110700.6	RPS13	chr11	protein_coding	ribosomal protein S13
chr11	124570229	124570250	chr11_38750	8	+	22	8	124570233	CDS:1.0;	ENSG00000196119.6	OR8A1	chr11	protein_coding	olfactory receptor, family 8, subfamily A, member 1
chr11	65441212	65441290	chr11_29054	40	+	79	30	65441259	noncoding_exon:1.0;	ENSG00000245532.5	NEAT1	chr11	lincRNA	nuclear paraspeckle assembly transcript 1 (non-protein coding)
chr11	6611192	6611244	chr11_41880	5	-	53	5	6611210	CDS:1.0;	ENSG00000166337.9	TAF10	chr11	protein_coding	TAF10 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 30kDa
chr11	118522250	118522324	chr11_37399	8	+	75	6	118522266	three_prime_UTR:1.0;	ENSG00000118058.20	KMT2A	chr11	protein_coding	lysine (K)-specific methyltransferase 2A
chr11	130141918	130141968	chr11_39738	9	+	51	6	130141922	CDS:1.0;	ENSG00000084234.16	APLP2	chr11	protein_coding	amyloid beta (A4) precursor-like protein 2
chr11	770867	770903	chr11_40332	9	-	37	9	770878	three_prime_UTR:0.81;CDS:0.19;	ENSG00000177225.16	PDDC1	chr11	protein_coding	Parkinson disease 7 domain containing 1
chr11	66276861	66276895	chr11_29853	6	+	35	6	66276871	three_prime_UTR:1.0;	ENSG00000174903.14	RAB1B	chr11	protein_coding	RAB1B, member RAS oncogene family
chr11	376960	377003	chr11_19123	6	+	44	6	376971	CDS:1.0;	ENSG00000182272.11	B4GALNT4	chr11	protein_coding	beta-1,4-N-acetyl-galactosaminyl transferase 4
chr11	47642397	47642470	chr11_47084	4	-	74	4	47642444	five_prime_UTR:0.07;CDS:0.93;	ENSG00000109919.9	MTCH2	chr11	protein_coding	mitochondrial carrier 2
chr11	75404420	75404589	chr11_33163	108	+	170	40	75404506	intron:1.0;	ENSG00000149273.14	RPS3	chr11	protein_coding	ribosomal protein S3
chr11	85484086	85484166	chr11_33992	12	+	81	9	85484114	antisense;	ENSG00000150672.16	DLG2	chr11	protein_coding	discs, large homolog 2 (Drosophila)
chr11	65426687	65426765	chr11_28899	12	+	79	7	65426715	noncoding_exon:1.0;	ENSG00000245532.5	NEAT1	chr11	lincRNA	nuclear paraspeckle assembly transcript 1 (non-protein coding)
chr11	8683201	8683237	chr11_21057	20	+	37	20	8683201	CDS:1.0;	ENSG00000166441.12	RPL27A	chr11	protein_coding	ribosomal protein L27a
chr11	9573810	9573924	chr11_21286	8	+	115	4	9573854	five_prime_UTR:1.0;	ENSG00000166483.10	WEE1	chr11	protein_coding	WEE1 G2 checkpoint kinase
chr11	65427075	65427703	chr11_28905	90	+	629	10	65427259	noncoding_exon:1.0;	ENSG00000245532.5	NEAT1	chr11	lincRNA	nuclear paraspeckle assembly transcript 1 (non-protein coding)
chr11	65428666	65428785	chr11_28913	18	+	120	8	65428718	noncoding_exon:1.0;	ENSG00000245532.5	NEAT1	chr11	lincRNA	nuclear paraspeckle assembly transcript 1 (non-protein coding)
chr11	65506050	65506090	chr11_29140	8	+	41	8	65506059	noncoding_exon:1.0;	ENSG00000251562.7	MALAT1	chr11	lincRNA	metastasis associated lung adenocarcinoma transcript 1 (non-protein coding)
chr11	65623490	65623536	chr11_29301	7	+	47	6	65623490	intron:1.0;	ENSG00000213445.8	SIPA1	chr11	protein_coding	signal-induced proliferation-associated 1
chr11	72013395	72013447	chr11_51956	6	-	53	5	72013419	intron:1.0;	ENSG00000137497.17	NUMA1	chr11	protein_coding	nuclear mitotic apparatus protein 1
chr11	68690970	68691058	chr11_31480	8	+	89	6	68690987	three_prime_UTR:0.81;CDS:0.19;	ENSG00000069482.6	GAL	chr11	protein_coding	galanin/GMAP prepropeptide
chr11	120211349	120211489	chr11_37942	11	+	141	6	120211436	CDS:1.0;	ENSG00000184232.8	OAF	chr11	protein_coding	OAF homolog (Drosophila)
chr11	32892809	32892847	chr11_23585	4	+	39	4	32892828	intergenic;	--
